tag	category	datasets	note
Phenacoccus solenopsis	species	microalgae	
Physcomitrella patens	species	microalgae	
Physcomitrium patens	species	microalgae	
Piper hispidinervum	species	fallworm	
Plutella xylostella	species	fallworm	
Podisus nigrispinus	species	fallworm	
Porites lutea	species	microalgae	
Posidonia oceanica	species	microalgae	
Potamogeton crispus	species	microalgae	
Prasiola stipitata	species	microalgae	
Pristomerus vulnerator	species	fallworm	
Prochlorococcus	species	microalgae	
Propithecus edwardsi	species	fallworm	
Pseudomonas	species	PhD_proposal	
Purpureocillium lilacinum	species	fallworm	
Pyemotes zhonghuajia	species	fallworm	
quadricauda		microalgae	
Quercus alba	species	microalgae	
repat	gene	fallworm	
Rhizophagus irregularis	species	PhD_proposal	
Rhizophora mucronata	species	microalgae	
Rhodomyrtus tomento	species	microalgae	
Rhodomyrtus tomento sa	species	microalgae	OCR split of tomentosa -> species
rochloron		microalgae	
S podoptera frugiperda		fallworm	
S. litura	species	fallworm	
Saccharomyces cerevisiae	species	PhD_proposal	
salina		microalgae	
salt tolerance	theme	PhD_proposal	
Scenedesmus	species	microalgae	
Scenedesmus abundans	species	microalgae	
Scenedesmus dimorphus	species	microalgae	
Scenedesmus obliquus	species	microalgae	
Scenedesmus obtusiusculus	species	microalgae	
Scenedesmus quadricauda	species	microalgae	
ScWIP5	gene	fallworm	
Sep38	gene	fallworm	protein? -> gene (uncertain)
SfGSTe11	gene	fallworm	
SfGSTs2	gene	fallworm	
SfREPAT38	gene	fallworm	
SfruOBP18	gene	fallworm	
SfVipR1	gene	fallworm	
Sinosenecio jishouensis	species	microalgae	
Skeletonema	species	microalgae	
software	method	PhD_proposal	tooling -> method (or theme)
Solanum lycopersicum	species	PhD_proposal	
Solea aegyptiaca	species	microalgae	
Spilosoma obliqua	species	fallworm	
Spirulina	species	microalgae	
Spirulina platensis	species	microalgae	
Spodoptera	species	fallworm	
Spodoptera exigua	species	fallworm	
Spodoptera Frugiperda	species	fallworm	
Spodoptera frugiperda	species	fallworm	
Spodoptera Frugiperda)		fallworm	
Spodoptera literal		fallworm	OCR of littoralis/litura -> left blank
Spodoptera littoralis	species	fallworm	
Spodoptera Litura	species	fallworm	
Spodoptera litura	species	fallworm	
SqME	gene	microalgae	
Steinernema carpocapsae-Xenorhabdus nematophila	species	fallworm	
Steinernema siamkayai	species	fallworm	
Stenotrophomonas maltophilia	species	fallworm	
Streptococcus agalactiae	species	PhD_proposal	
